activityID,catalog,startTime,sourceLocation,activeRegionNum
2020-12-07T18:36:00-CME-001,M2M_CATALOG,2020-12-07T18:36Z,S40W30,
2020-12-11T00:36:00-CME-001,M2M_CATALOG,2020-12-11T00:36Z,,
2020-12-11T19:09:00-CME-001,M2M_CATALOG,2020-12-11T19:09Z,,12791.0
2020-12-12T04:12:00-CME-001,M2M_CATALOG,2020-12-12T04:12Z,,
2020-12-13T09:24:00-CME-001,M2M_CATALOG,2020-12-13T09:24Z,,
2020-12-14T15:12:00-CME-001,M2M_CATALOG,2020-12-14T15:12Z,S22E44,12792.0
2020-12-14T21:12:00-CME-001,M2M_CATALOG,2020-12-14T21:12Z,N40E110,
2020-12-17T06:48:00-CME-001,M2M_CATALOG,2020-12-17T06:48Z,,
2020-12-27T00:48:00-CME-001,M2M_CATALOG,2020-12-27T00:48Z,,
2020-12-30T02:24:00-CME-001,M2M_CATALOG,2020-12-30T02:24Z,S20E08,12795.0
